name,SG8S_AR0820C_5300_G2A_H120YA_01
focalLength,4.010000228881836
focusDistance,480.0
fStop,1.600000023841858
projection,perspective
stereoRole,mono
horizontalAperture,8.064000129699707
verticalAperture,4.535999774932861
clippingRange,"(1, 1000000)"
cameraProjectionType,fisheyeEquidistant
nominalWidth,3840.0
nominalHeight,2160.0
opticalCenterX,1919.1090087890625
opticalCenterY,1087.7274169921875
maxFOV,120.0
polyK0,0.8600332140922546
polyK1,-0.30780455470085144
polyK2,-0.05103735625743866
polyK3,1.5231009721755981
polyK4,0.0005489090108312666
polyK5,-0.25151902437210083
p0,6.143400241853669e-05
p1,-4.332419848651625e-05
s0,0.0
s1,0.0
s2,0.0
s3,0.0
physicalDistortionCoefficients,Not Applicable
physicalDistortionModel,Not Applicable
