name,Camera_Pseudo_Depth,Camera_OmniVision_OV9782_Color,Camera_OmniVision_OV9782_Left,Camera_OmniVision_OV9782_Right
focalLength,1.9299999475479126,1.9299999475479126,1.9299999475479126,1.9299999475479126
focusDistance,0.6000000238418579,0.5,0.5,0.5
fStop,2.0,2.0,2.0,2.0
projection,perspective,perspective,perspective,perspective
stereoRole,mono,mono,left,right
horizontalAperture,3.8959999084472656,3.8959999084472656,3.8959999084472656,3.8959999084472656
verticalAperture,2.453000068664551,2.453000068664551,2.453000068664551,2.453000068664551
clippingRange,"(0.01, 1000000)","(0.01, 1000000)","(0.01, 1000000)","(0.01, 1000000)"
cameraProjectionType,fisheyeEquidistant,fisheyeEquidistant,fisheyeEquidistant,fisheyeEquidistant
nominalWidth,1936.0,1936.0,1936.0,1936.0
nominalHeight,1216.0,1216.0,1216.0,1216.0
opticalCenterX,970.94244,970.94244,970.94244,970.94244
opticalCenterY,600.37482,600.37482,600.37482,600.37482
maxFOV,100.5999984741211,98.0,98.0,98.0
polyK0,0.0,0.0,0.0,0.0
polyK1,0.00245,0.00245,0.00245,0.00245
polyK2,0.0,0.0,0.0,0.0
polyK3,0.0,0.0,0.0,0.0
polyK4,0.0,0.0,0.0,0.0
polyK5,0.0,0.0,0.0,0.0
p0,-0.00037,-0.00037,-0.00037,-0.00037
p1,-0.00074,-0.00074,-0.00074,-0.00074
s0,-0.00058,-0.00058,-0.00058,-0.00058
s1,-0.00022,-0.00022,-0.00022,-0.00022
s2,0.00019,0.00019,0.00019,0.00019
s3,-0.0002,-0.0002,-0.0002,-0.0002
physicalDistortionCoefficients,Not Applicable,Not Applicable,Not Applicable,Not Applicable
physicalDistortionModel,Not Applicable,Not Applicable,Not Applicable,Not Applicable
