name,camera_left,camera_right
focalLength,2.8734347820281982,2.8779797554016113
focusDistance,0.6000000238418579,0.6000000238418579
fStop,240.0,240.0
projection,perspective,perspective
stereoRole,left,right
horizontalAperture,5.760000228881836,5.760000228881836
verticalAperture,3.5999999046325684,3.5999999046325684
clippingRange,"(0.076, 100000)","(0.076, 100000)"
cameraProjectionType,fisheyePolynomial,fisheyePolynomial
nominalWidth,1920.0,1920.0
nominalHeight,1200.0,1200.0
opticalCenterX,957.85107421875,954.709228515625
opticalCenterY,589.5376586914062,588.3735961914062
maxFOV,150.0,150.0
polyK0,5.0055230531143025e-05,8.962746505858377e-05
polyK1,0.0010426010703667998,0.001039923052303493
polyK2,9.85131620723223e-09,1.502240820627776e-08
polyK3,1.6426542417957712e-11,5.982795422271314e-12
polyK4,2.9886398802796144e-14,3.6818906078281075e-14
polyK5,0.0,0.0
p0,-0.00037,-0.00037
p1,-0.00074,-0.00074
s0,-0.00058,-0.00058
s1,-0.00022,-0.00022
s2,0.00019,0.00019
s3,-0.0002,-0.0002
physicalDistortionCoefficients,"[0.147811, -0.032313, -0.000194, -0.000035, 0.008823, 0.517913, -0.06708, 0.01695]","[6.815791, 5.172144, -0.000246, -0.000128, 0.353267, 7.180808, 7.640372, 1.596375]"
physicalDistortionModel,rational_polynomial,rational_polynomial
