name,camera_rgb,camera_tof_nfov,camera_tof_wfov
focalLength,3.25,1.690000057220459,1.690000057220459
focusDistance,150.0,44.0,44.0
fStop,0.0,0.0,0.0
projection,perspective,perspective,perspective
stereoRole,mono,mono,mono
horizontalAperture,5.449999809265137,2.5899999141693115,5.849999904632568
verticalAperture,3.0999999046325684,2.1500000953674316,5.849999904632568
clippingRange,"(0.01, 1000000)","(0.01, 1000)","(0.01, 1000)"
cameraProjectionType,pinhole,pinhole,pinhole
nominalWidth,1936.0,1936.0,1936.0
nominalHeight,1216.0,1216.0,1216.0
opticalCenterX,970.94244,970.94244,970.94244
opticalCenterY,600.37482,600.37482,600.37482
maxFOV,200.0,200.0,200.0
polyK0,0.0,0.0,0.0
polyK1,0.00245,0.00245,0.00245
polyK2,0.0,0.0,0.0
polyK3,0.0,0.0,0.0
polyK4,0.0,0.0,0.0
polyK5,0.0,0.0,0.0
p0,-0.00037,-0.00037,-0.00037
p1,-0.00074,-0.00074,-0.00074
s0,-0.00058,-0.00058,-0.00058
s1,-0.00022,-0.00022,-0.00022
s2,0.00019,0.00019,0.00019
s3,-0.0002,-0.0002,-0.0002
physicalDistortionCoefficients,Not Applicable,Not Applicable,Not Applicable
physicalDistortionModel,Not Applicable,Not Applicable,Not Applicable
